frame.number,frame.time_epoch,frame.len,_ws.col.protocol,ipv6.src,ipv6.dst,wpan.fcf,wpan.seq_no,wpan.dst_pan,wpan.src64,wpan.dst64,6lowpan.src,6lowpan.dst,6lowpan.iphc.tf,6lowpan.iphc.nh,6lowpan.iphc.hlim,6lowpan.iphc.sam,6lowpan.iphc.dam
"40","1774872167.427262000","120","6LoWPAN",,,"0xc841","56","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fd00:4::1","ff02::fb","0x0001","True","0x0003","0x0000","0x0003"
"41","1774872167.433065000","85","MDNS","fd00:4::1","ff02::fb","0xc841","57","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,,,,,,,
"42","1774872170.078566000","43","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::2","0xc841","58","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::2","0x0003","False","0x0003","0x0003","0x0003"
"43","1774872197.599149000","43","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::2","0xc841","59","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::2","0x0003","False","0x0003","0x0003","0x0003"
"44","1774872255.202395000","43","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::2","0xc841","60","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::2","0x0003","False","0x0003","0x0003","0x0003"
"45","1774872344.620886000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","61","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"46","1774872345.621625000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","62","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"47","1774872346.622482000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","63","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"48","1774872347.623366000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","64","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"49","1774872348.626467000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","65","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
